userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A2HOA8ZATV5019,0,5,2,pos,8,28.063
A2HOA8ZATV5019,27,2,1,num,6,37.623
A2HOA8ZATV5019,12,5,0,pos,7,48.164
A2HOA8ZATV5019,21,2,2,num,6,41.328
A2HOA8ZATV5019,29,4,1,num,8,18.378
A2HOA8ZATV5019,15,2,0,pos,6,13.238
A2HOA8ZATV5019,60,-1,2,center position,6,6.902
A2HOA8ZATV5019,34,3,0,num,8,14.852
A2HOA8ZATV5019,1,0,2,pos,8,23.242
A2HOA8ZATV5019,1,0,2,pos,8,1629167132.958758
A2HOA8ZATV5019,20,1,2,num,7,39.448
A2HOA8ZATV5019,7,0,1,pos,8,15.6
A2HOA8ZATV5019,5,4,2,pos,8,6.454
A2HOA8ZATV5019,10,3,1,pos,8,7.306
A2HOA8ZATV5019,13,0,0,pos,7,16.245
A2HOA8ZATV5019,14,1,0,pos,8,9.429
A2HOA8ZATV5019,32,-1,2,shape,6,9.761
A2HOA8ZATV5019,22,3,2,num,7,10.12
A2HOA8ZATV5019,22,3,2,num,7,1629167269.6218798
A2HOA8ZATV5019,62,-1,2,center position,6,6.939
A2HOA8ZATV5019,23,4,2,num,6,14.433
A2HOA8ZATV5019,17,4,0,pos,6,31.241
A2HOA8ZATV5019,8,1,1,pos,7,17.37
A2HOA8ZATV5019,35,4,0,num,7,5.418
A2HOA8ZATV5019,3,2,2,pos,7,9.536
A2HOA8ZATV5019,33,2,0,num,6,5.985
A2HOA8ZATV5019,9,2,1,pos,7,7.551
A2HOA8ZATV5019,4,3,2,pos,8,18.624
A2HOA8ZATV5019,4,3,2,pos,8,1629167429.779376
A2HOA8ZATV5019,3,-1,2,point number,6,23.757
A2HOA8ZATV5019,6,5,1,pos,8,7.603
A2HOA8ZATV5019,28,3,1,num,6,12.466
A2HOA8ZATV5019,18,5,2,num,7,8.286
A2HOA8ZATV5019,18,5,2,num,7,1629167492.165714
A2HOA8ZATV5019,11,4,1,pos,8,17.457
A2HOA8ZATV5019,11,4,1,pos,8,1629167513.012543
A2HOA8ZATV5019,30,5,0,num,7,8.641
A2HOA8ZATV5019,19,0,2,num,8,12.908
A2HOA8ZATV5019,25,0,1,num,8,20.348
A2HOA8ZATV5019,31,0,0,num,6,7.723
A2HOA8ZATV5019,32,1,0,num,8,6.144
A2HOA8ZATV5019,16,3,0,pos,8,10.048
A2HOA8ZATV5019,2,1,2,pos,7,8.41
A2HOA8ZATV5019,26,1,1,num,6,22.221
A2HOA8ZATV5019,24,5,1,num,7,29.602
