workerId,age,gender,degree,screenSize,familiar,comment,code,endTime
A1G6DFTYUM578N,18-25,Female,Bachelors,unsure,3,"I have no additional comments, but thank you for letting me take this survey",zMW087X4,2021-08-17 10:23:09
A1G34TESSXG1R8,25-39,Male,High School,15,4,"",zMW087X4,2021-08-17 10:23:34
A1SHLWKA0UH1IS,50-59,Female,Bachelors,23 or larger,5,"Thanks",zMW087X4,2021-08-17 10:24:20
A1GZ4Y5HNBTCES,25-39,Female,Bachelors,15,3,"",4Oc36189,2021-08-17 10:24:25
A2TT1DF4O1NSJD,25-39,Male,Bachelors,unsure,7,"",zMW087X4,2021-08-17 10:25:29
AV5FCKI1TTSKR,40-49,Male,Bachelors,17,7,"",4Oc36189,2021-08-17 10:26:07
AJ5C910X64K9B,25-39,Female,Bachelors,11,7,"nothing",zMW087X4,2021-08-17 10:26:31
A2RTUMFZZKA4TW,18-25,Female,Bachelors,15,4,"good",4Oc36189,2021-08-17 10:26:54
A3OZ8KF0HWSVWK,50-59,Male,High School,13,4,"",5S93648j,2021-08-17 10:30:03
AFFXVHHBUWW4D,25-39,Female,Bachelors,15,7,"Nothing.",5S93648j,2021-08-17 10:34:14
AWSZK7WE98LJX,60+,Male,Bachelors,21,6,"interesting",5S93648j,2021-08-17 10:34:49
A20EVX30W7PLZK,40-49,Female,Bachelors,11,3,"IT IS VERY INTERESTING.",zMW087X4,2021-08-17 10:35:54
A2HOA8ZATV5019,25-39,Male,Bachelors,17,6,"Very interesting one of the following survey. Thankyou. ",0VT3pci2,2021-08-17 10:35:56
A20OU80R4OGJRE,25-39,Male,Bachelors,21,6,"GOOD AND INTERESTING TO DO THIS STUDY",4Oc36189,2021-08-17 10:39:33
A18R8VOH72BF3L,40-49,Male,Bachelors,21,5,"",0VT3pci2,2021-08-17 10:39:55
AJFODC119DWRS,25-39,Female,Masters,17,6,"its an very interesting scattering game i enjoyed alot",5S93648j,2021-08-17 10:40:48
A25PFSORDO3SWQ,25-39,Male,Bachelors,19,4,"The ones that were harder were ones that had colors that when they overlapped would change color. It made it hard to tell if it was the same color or if it was a new color. When the colors were uniform and all the same opacity, it was much easier.",4Oc36189,2021-08-17 10:43:46
A2KNDIH7FHF7JL,40-49,Male,Bachelors,19,6,"GOOD",4S38975i,2021-08-17 10:45:41
A15C7X9O8DJ3FE,25-39,Female,Bachelors,21,7,"very interesting study, good experience",0VT3pci2,2021-08-17 10:52:12
A1VKH87QQO75DL,25-39,Male,Bachelors,15,7,"It was interesting survey",0VT3pci2,2021-08-17 11:02:14
A2JBTM4RLMU2YO,40-49,Female,Masters,15,6,"good",5S93648j,2021-08-17 11:02:20
A2O2Y99RA9GFUJ,60+,Male,Bachelors,17,3,"how did i do?",4S38975i,2021-08-17 11:05:01
A1DK6S5SHJPBFH,25-39,Male,Bachelors,15,5,"good",IX5wD380,2021-08-17 11:09:34
AMCUCMBVAUR93,25-39,Male,Bachelors,21,7,"good",4Oc36189,2021-08-17 11:12:27
A1EXJC6NFUABA0,25-39,Female,Bachelors,17,7,"none",5S93648j,2021-08-17 11:21:22
A2SOKI4FZ78ADQ,25-39,Male,Bachelors,15,5,"good",IX5wD380,2021-08-17 11:29:01
A2XNLWE8B2EG2L,25-39,Female,Masters,15,7,"YES, IAM VERY HAPPY TO SAY VERY NICE AND EASY SURVEY.",4S38975i,2021-08-17 11:50:14
AL3G3SPODH5RH,40-49,Female,Bachelors,unsure,5,"",T8au0dcV,2021-08-17 11:53:03
ADD4CIDYCKN66,25-39,Female,Bachelors,15,7,"IT IS INTERESTING AND GOOD TASK.",0VT3pci2,2021-08-17 11:54:47
A2G6PQM3FF1SGQ,50-59,Female,Bachelors,unsure,7,"",4S38975i,2021-08-17 12:01:47
A3KYWJJ6RTHSKK,25-39,Male,Bachelors,15,7,"good",IX5wD380,2021-08-17 13:34:26
A20GLWELRTNG4Q,25-39,Male,Bachelors,15,6,"It was interesting to participate and simple to complete",0VT3pci2,2021-08-17 13:40:15
A2ZZTO2FAA3L6T,40-49,Female,Masters,23 or larger,5,"nothing",T8au0dcV,2021-08-17 14:38:43
A2I4QYINF6WSY5,18-25,Female,Bachelors,17,2,"good",4S38975i,2021-08-17 14:49:02
A2FHJCRBRP7VH4 ,25-39,Female,High School,15,3,"It was fun and challenging!",IX5wD380,2021-08-17 14:59:36
A23HBDM16AW8O3,25-39,Male,Bachelors,15,6,"nice survey",T8au0dcV,2021-08-17 16:29:19
A3KIDJYJ2AM8E2,40-49,Male,Masters,13,7,"INTEREST",T8au0dcV,2021-08-17 16:30:45
A1V6MGRE7772ZP,40-49,Male,Bachelors,13,7,"",Apgfwzd9,2021-08-17 16:31:42
A26X8BQELDQSGH,25-39,Male,Bachelors,13,7,"I enjoyed the counting and would wish to do more of this. Thank you.",IX5wD380,2021-08-17 16:31:46
A2FMVLQ531GHPJ,25-39,Male,Masters,9 or smaller,5,"very good and in restring  survey",4S38975i,2021-08-17 16:39:03
ATCU8XJBX3GUG,18-25,Female,Masters,21,7,"FOCUS AND COUNTING THE DOTS SO THAT IS VERY INTERESTED.",T8au0dcV,2021-08-17 16:51:29
A247912DYESX7M,25-39,Female,Bachelors,15,6,"None",Apgfwzd9,2021-08-17 17:19:43
AAOAUY8049L00,25-39,Female,Bachelors,unsure,5,"",Apgfwzd9,2021-08-17 18:02:15
i agree,25-39,Male,Bachelors,17,5,"good",41fLbn3q,2021-08-17 18:37:42
A2S0MB5JFG8DF,25-39,Male,High School,23 or larger,3,"",Apgfwzd9,2021-08-17 19:06:48
A34DYM8J0X5VK,40-49,Male,High School,23 or larger,6,"Some of the colors were similar but the shade was off so I counted them as a different color.",IX5wD380,2021-08-17 19:17:59
A2A07J1P6YEW6Z,40-49,Male,Masters,15,6,"",Apgfwzd9,2021-08-17 20:28:21
A6WH1NN3V0DF,40-49,Male,Masters,11,6,"nothing",T8au0dcV,2021-08-17 21:40:12
A37RAWZ6370X39,60+,Female,Bachelors,unsure,7,"Gained More Knowledge",41fLbn3q,2021-08-17 22:28:33
A3LPASPG0SD7WZ,25-39,Female,Masters,15,6,"Nothing",41fLbn3q,2021-08-17 22:35:19
A2CCTT5OKX0WC8,18-25,Female,Bachelors,13,7,"I like it",41fLbn3q,2021-08-17 22:43:59
A1ESAZCY1GA1T5,25-39,Female,Bachelors,15,6,"ITS VERY INTEREESTING",Apgfwzd9,2021-08-18 00:01:37
A34495T0MW6RPT,25-39,Female,Bachelors,11,6,"NONE",41fLbn3q,2021-08-18 00:40:33
AP2PDEEJQHMYO,40-49,Female,Masters,17,7,"Good",41fLbn3q,2021-08-18 02:20:04
