userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A37EV8RZ82WT8E,0,1,2,pos,3-4,small&dense-small&sparse,4.60-3.40,1,3-4,8.637
A37EV8RZ82WT8E,27,4,1,num,3,0,14.97,0,5,16.808
A37EV8RZ82WT8E,12,1,0,pos,6,large&dense,8.67,1,6,10.457
A37EV8RZ82WT8E,21,4,2,num,1,small&sparse,5.54,1,1,7.064
A37EV8RZ82WT8E,29,0,1,num,4,small&sparse,4.73,1,4,6.096
A37EV8RZ82WT8E,15,4,0,pos,7,small&sparse,12.33,1,7,16.244
A37EV8RZ82WT8E,60,-1,2,center position,5,small&dense,2.64,1,5,6.831
A37EV8RZ82WT8E,34,5,0,num,6-7-5,small&sparse-large&dense-large&dense,4.15-14.13-5.60,1,5-7-6,24.791
A37EV8RZ82WT8E,1,2,2,pos,2,small&sparse,2.11,1,2,11.227
A37EV8RZ82WT8E,20,3,2,num,7-4,large&dense-small&dense,11.78-13.60,0,4-7,60
A37EV8RZ82WT8E,7,2,1,pos,3-5-7,large&sparse-small&sparse-small&sparse,13.45-3.96-2.21,1,5-3-7,20.972
A37EV8RZ82WT8E,5,0,2,pos,0-3,large&dense-small&sparse,4.64-3.05,1,0-3,15.826
A37EV8RZ82WT8E,10,5,1,pos,3-7,large&dense-small&dense,3.48-1.50,1,7-3,9.571
A37EV8RZ82WT8E,13,2,0,pos,0-3-5,large&sparse-small&dense-large&dense,5.83-3.40-30.76,1,3-5-0,41.979
A37EV8RZ82WT8E,14,3,0,pos,7-6-5,large&dense-small&sparse-large&dense,3.81-16.31-5.21,1,6-5-7,25.992
A37EV8RZ82WT8E,32,-1,2,shape,4,large&dense,4.26,1,4,5.691
A37EV8RZ82WT8E,22,5,2,num,0-7,large&sparse-small&sparse,6.81-16.14,1,0-7,24.365
A37EV8RZ82WT8E,62,-1,2,center position,4,large&dense,2.68,1,4,5.385
A37EV8RZ82WT8E,23,0,2,num,0-6-3,large&dense-large&dense-small&sparse,8.58-4.08-5.98,1,3-6-0,21.506
A37EV8RZ82WT8E,17,0,0,pos,0-5,small&dense-small&sparse,3.87-8.13,1,0-5,13.366
A37EV8RZ82WT8E,8,3,1,pos,6-1,large&sparse-large&dense,4.11-3.82,1,1-6,10.701
A37EV8RZ82WT8E,35,0,0,num,5,large&sparse,13.00,0,6-5-0,60
A37EV8RZ82WT8E,3,4,2,pos,7,small&sparse,6.36,1,7,7.749
A37EV8RZ82WT8E,33,4,0,num,5,small&sparse,16.38,1,5,18.004
A37EV8RZ82WT8E,9,4,1,pos,1,small&dense,19.67,1,1,22.07
A37EV8RZ82WT8E,4,5,2,pos,0-2-6,small&dense-small&dense-small&sparse,2.11-3.60-2.30,1,0-2-6,8.741
A37EV8RZ82WT8E,3,-1,2,point number,1,large&dense,34.34,1,1,36.042
A37EV8RZ82WT8E,6,1,1,pos,2,small&dense,10.60,1,2,11.621
A37EV8RZ82WT8E,28,5,1,num,0-5-2,small&dense-small&sparse-small&sparse,2.12-8.25-15.41,1,0-2-5,26.588
A37EV8RZ82WT8E,18,1,2,num,2-7-5,small&dense-small&dense-small&sparse,4.59-1.78-5.39,1,7-2-5,12.791
A37EV8RZ82WT8E,11,0,1,pos,6-0-1,small&dense-large&sparse-small&dense,3.72-3.24-1.90,1,6-1-0,9.6
A37EV8RZ82WT8E,30,1,0,num,5-7,small&dense-0,5.76-22.31,0,5-0,29.966
A37EV8RZ82WT8E,19,2,2,num,3,small&dense,2.13,1,3,3.32
A37EV8RZ82WT8E,25,2,1,num,0-1,large&sparse-small&sparse,3.60-19.60,1,1-0,23.94
A37EV8RZ82WT8E,31,2,0,num,5,large&dense,38.23,0,6-5,60
A37EV8RZ82WT8E,32,3,0,num,7,small&sparse,18.32,1,7,20.554
A37EV8RZ82WT8E,16,5,0,pos,0-1,small&dense-small&sparse,1.52-5.92,1,1-0,8.232
A37EV8RZ82WT8E,2,3,2,pos,5-4-6,small&dense-large&sparse-small&sparse,1.49-2.14-7.61,1,5-4-6,11.894
A37EV8RZ82WT8E,26,3,1,num,6-4-3,large&sparse-small&dense-small&sparse,7.00-1.99-11.85,1,3-4-6,21.537
A37EV8RZ82WT8E,24,1,1,num,6-2,small&sparse-small&dense,15.15-2.15,1,2-6,17.9
