userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
AXRDY6D16PVVH,0,2,2,pos,3-4,small&dense-small&sparse,6.01-25.00,1,3-4,34.983
AXRDY6D16PVVH,27,5,1,num,5,small&sparse,7.71,1,5,10.31
AXRDY6D16PVVH,12,2,0,pos,6,large&dense,9.14,1,6,11.327
AXRDY6D16PVVH,21,5,2,num,1,small&sparse,16.29,1,1,19.622
AXRDY6D16PVVH,29,1,1,num,4,small&sparse,54.85,1,4,56.614
AXRDY6D16PVVH,15,5,0,pos,7,small&sparse,19.50,1,7,34.339
AXRDY6D16PVVH,60,-1,2,center position,5,small&dense,2.88,1,5,5.812
AXRDY6D16PVVH,34,0,0,num,6-5-7,small&sparse-large&dense-large&dense,21.49-16.37-10.93,1,5-7-6,51.112
AXRDY6D16PVVH,1,3,2,pos,2,small&sparse,6.02,1,2,7.93
AXRDY6D16PVVH,20,4,2,num,4-7,small&dense-large&dense,4.86-11.54,1,4-7,18.638
AXRDY6D16PVVH,7,3,1,pos,7-5-3,small&sparse-small&sparse-large&sparse,5.57-1.85-4.42,1,5-3-7,13.502
AXRDY6D16PVVH,5,1,2,pos,0-3,large&dense-small&sparse,3.89-2.69,1,0-3,10.603
AXRDY6D16PVVH,10,0,1,pos,3-7,large&dense-small&dense,3.36-7.84,1,7-3,14.624
AXRDY6D16PVVH,13,3,0,pos,0-5-3,large&sparse-large&dense-small&dense,4.37-8.08-4.20,1,3-5-0,49.215
AXRDY6D16PVVH,14,4,0,pos,7-6-5,large&dense-small&sparse-large&dense,4.67-16.81-10.39,1,6-5-7,34.217
AXRDY6D16PVVH,32,-1,2,shape,4,large&dense,18.14,1,4,20.39
AXRDY6D16PVVH,22,0,2,num,7-0,small&sparse-large&sparse,7.90-9.66,1,0-7,31.402
AXRDY6D16PVVH,62,-1,2,center position,4,large&dense,4.13,1,4,7.42
AXRDY6D16PVVH,23,1,2,num,0-6-3,large&dense-large&dense-small&sparse,5.06-4.34-2.97,1,3-6-0,15.014
AXRDY6D16PVVH,17,1,0,pos,0-5,small&dense-small&sparse,4.56-10.60,1,0-5,22.991
AXRDY6D16PVVH,8,4,1,pos,6-2,large&sparse-0,5.69-2.53,0,1-6,10.847
AXRDY6D16PVVH,35,1,0,num,5-6-1,large&sparse-small&dense-0,5.82-39.90-12.29,0,6-5-0,60
AXRDY6D16PVVH,3,5,2,pos,7,small&sparse,19.21,1,7,20.951
AXRDY6D16PVVH,33,5,0,num,5,small&sparse,29.59,1,5,31.659
AXRDY6D16PVVH,9,5,1,pos,1,small&dense,2.68,1,1,5.251
AXRDY6D16PVVH,4,0,2,pos,0-2-6,small&dense-small&dense-small&sparse,5.17-1.48-6.30,1,0-2-6,15.416
AXRDY6D16PVVH,3,-1,2,point number,1,large&dense,7.87,1,1,12.709
AXRDY6D16PVVH,6,2,1,pos,2,small&dense,5.94,1,2,8.096
AXRDY6D16PVVH,28,0,1,num,2-0-4,small&sparse-small&dense-0,4.13-4.94-42.02,0,0-2-5,60
AXRDY6D16PVVH,18,2,2,num,5-7-2,small&sparse-small&dense-small&dense,7.33-3.14-11.64,1,7-2-5,31.247
AXRDY6D16PVVH,11,1,1,pos,5-6-0,0-small&dense-large&sparse,6.64-2.09-2.92,0,6-1-0,14.558
AXRDY6D16PVVH,30,2,0,num,5-0,small&dense-small&dense,4.56-17.97,1,5-0,24.264
AXRDY6D16PVVH,19,3,2,num,3,small&dense,4.84,1,3,6.253
AXRDY6D16PVVH,25,3,1,num,0-1,large&sparse-small&sparse,3.87-7.82,1,1-0,15.301
AXRDY6D16PVVH,31,3,0,num,5-6,large&dense-large&sparse,8.37-7.85,1,6-5,18.908
AXRDY6D16PVVH,32,4,0,num,7,small&sparse,31.41,1,7,33.024
AXRDY6D16PVVH,16,0,0,pos,0-1,small&dense-small&sparse,10.28-38.34,1,1-0,49.734
AXRDY6D16PVVH,2,4,2,pos,6-5-4,small&sparse-small&dense-large&sparse,6.39-7.14-4.97,1,5-4-6,19.551
AXRDY6D16PVVH,26,4,1,num,3-4-6,small&sparse-small&dense-large&sparse,9.93-8.60-8.78,1,3-4-6,28.448
AXRDY6D16PVVH,24,2,1,num,2-6,small&dense-small&sparse,6.50-3.53,1,2-6,10.968
