userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A3QXFWX1PVH5MJ,0,4,2,pos,3-4,small&dense-small&sparse,8.99-15.06,1,3-4,25.987
A3QXFWX1PVH5MJ,27,1,1,num,5,small&sparse,43.33,1,5,45.348
A3QXFWX1PVH5MJ,12,4,0,pos,6,large&dense,8.06,1,6,9.27
A3QXFWX1PVH5MJ,21,1,2,num,3,0,40.16,0,1,41.975
A3QXFWX1PVH5MJ,29,3,1,num,5,0,18.71,0,4,20.539
A3QXFWX1PVH5MJ,15,1,0,pos,7,small&sparse,22.70,1,7,24.232
A3QXFWX1PVH5MJ,60,-1,2,center position,5,small&dense,4.51,1,5,5.844
A3QXFWX1PVH5MJ,34,2,0,num,3-7-2,0-large&dense-0,24.43-8.65-16.54,0,5-7-6,51.296
A3QXFWX1PVH5MJ,1,5,2,pos,2,small&sparse,5.05,1,2,6.467
A3QXFWX1PVH5MJ,20,0,2,num,7-3,large&dense-0,20.03-16.67,0,4-7,38.697
A3QXFWX1PVH5MJ,7,5,1,pos,3-5-6,large&sparse-small&sparse-0,23.10-4.24-20.63,0,5-3-7,50.184
A3QXFWX1PVH5MJ,5,3,2,pos,3-0,small&sparse-large&dense,11.43-1.18,1,0-3,13.85
A3QXFWX1PVH5MJ,10,2,1,pos,7-3,small&dense-large&dense,10.97-1.09,1,7-3,14.048
A3QXFWX1PVH5MJ,13,5,0,pos,0-3-1,large&sparse-small&dense-0,22.42-2.06-3.26,0,3-5-0,28.948
A3QXFWX1PVH5MJ,14,0,0,pos,6-3-7,small&sparse-0-large&dense,10.24-2.11-4.82,0,6-5-7,18.725
A3QXFWX1PVH5MJ,32,-1,2,shape,4,large&dense,13.18,1,4,14.32
A3QXFWX1PVH5MJ,22,2,2,num,0-1,large&sparse-0,13.23-16.49,0,0-7,31.085
A3QXFWX1PVH5MJ,62,-1,2,center position,4,large&dense,8.80,1,4,10.145
A3QXFWX1PVH5MJ,23,3,2,num,0-7-6,large&dense-0-large&dense,8.64-0.89-1.37,0,3-6-0,13.428
A3QXFWX1PVH5MJ,17,3,0,pos,5-4,small&sparse-0,27.59-13.65,0,0-5,42.65
A3QXFWX1PVH5MJ,8,0,1,pos,1-6,large&dense-large&sparse,9.71-8.60,1,1-6,19.676
A3QXFWX1PVH5MJ,35,3,0,num,,0,,0,6-5-0,60
A3QXFWX1PVH5MJ,3,1,2,pos,7,small&sparse,16.80,1,7,17.99
A3QXFWX1PVH5MJ,33,1,0,num,,0,,0,5,60
A3QXFWX1PVH5MJ,9,1,1,pos,1,small&dense,9.93,1,1,11.167
A3QXFWX1PVH5MJ,4,2,2,pos,0-6-2,small&dense-small&sparse-small&dense,5.38-3.36-3.78,1,0-2-6,13.709
A3QXFWX1PVH5MJ,3,-1,2,point number,1,large&dense,28.81,1,1,30.53
A3QXFWX1PVH5MJ,6,4,1,pos,2,small&dense,7.27,1,2,8.436
A3QXFWX1PVH5MJ,28,2,1,num,0-5-1,small&dense-small&sparse-0,6.62-13.62-30.03,0,0-2-5,51.943
A3QXFWX1PVH5MJ,18,4,2,num,7-5-6,small&dense-small&sparse-0,6.35-5.47-44.70,0,7-2-5,57.808
A3QXFWX1PVH5MJ,11,3,1,pos,0-4-6,large&sparse-0-small&dense,12.16-3.70-3.70,0,6-1-0,20.936
A3QXFWX1PVH5MJ,30,4,0,num,,0,,0,5-0,60
A3QXFWX1PVH5MJ,19,5,2,num,3,small&dense,15.55,1,3,17.626
A3QXFWX1PVH5MJ,25,5,1,num,1-0,small&sparse-large&sparse,17.39-12.39,1,1-0,31.298
A3QXFWX1PVH5MJ,31,5,0,num,5-6,large&dense-large&sparse,7.06-15.19,1,6-5,23.936
A3QXFWX1PVH5MJ,32,0,0,num,7,small&sparse,46.54,1,7,48.15
A3QXFWX1PVH5MJ,16,2,0,pos,0-1,small&dense-small&sparse,19.30-6.06,1,1-0,34.843
A3QXFWX1PVH5MJ,2,0,2,pos,5-6-4,small&dense-small&sparse-large&sparse,3.20-6.36-6.29,1,5-4-6,17.66
A3QXFWX1PVH5MJ,26,0,1,num,4,small&dense,6.50,0,3-4-6,60
A3QXFWX1PVH5MJ,24,4,1,num,6-0,small&sparse-0,13.98-24.80,0,2-6,40.329
