userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A3NBM7TXRSDR54,0,5,2,pos,4-3,small&sparse-small&dense,10.18-4.95,1,3-4,16.332
A3NBM7TXRSDR54,27,2,1,num,5,small&sparse,12.93,1,5,29.323
A3NBM7TXRSDR54,12,5,0,pos,6,large&dense,20.71,1,6,23.979
A3NBM7TXRSDR54,21,2,2,num,1,small&sparse,11.25,1,1,14.859
A3NBM7TXRSDR54,29,4,1,num,4,small&sparse,43.87,1,4,48.865
A3NBM7TXRSDR54,15,2,0,pos,7,small&sparse,47.09,1,7,50.081
A3NBM7TXRSDR54,60,-1,2,center position,5,small&dense,9.88,1,5,12.166
A3NBM7TXRSDR54,34,3,0,num,0-6,0-small&sparse,40.12-3.47,0,5-7-6,60
A3NBM7TXRSDR54,1,0,2,pos,2,small&sparse,12.37,1,2,15.42
A3NBM7TXRSDR54,20,1,2,num,4-7,small&dense-large&dense,10.87-9.63,1,4-7,55.896
A3NBM7TXRSDR54,7,0,1,pos,5-7-6,small&sparse-small&sparse-0,46.99-3.46-5.67,0,5-3-7,59.756
A3NBM7TXRSDR54,7,0,1,pos,5-7-6,small&sparse-small&sparse-0,46.99-3.46-5.67,0,5-3-7,60
A3NBM7TXRSDR54,5,4,2,pos,0-3,large&dense-small&sparse,13.58-6.92,1,0-3,22.482
A3NBM7TXRSDR54,10,3,1,pos,7-3,small&dense-large&dense,9.27-10.41,1,7-3,21.621
A3NBM7TXRSDR54,13,0,0,pos,3-0,small&dense-large&sparse,15.28-4.64,0,3-5-0,60
A3NBM7TXRSDR54,14,1,0,pos,6-1-5,small&sparse-0-large&dense,24.48-7.66-15.52,0,6-5-7,49.266
A3NBM7TXRSDR54,32,-1,2,shape,4,large&dense,9.22,1,4,13.058
A3NBM7TXRSDR54,22,3,2,num,0,large&sparse,15.41,0,0-7,60
A3NBM7TXRSDR54,62,-1,2,center position,4,large&dense,9.36,1,4,10.402
A3NBM7TXRSDR54,23,4,2,num,0-6-3,large&dense-large&dense-small&sparse,30.52-6.22-14.85,1,3-6-0,52.953
A3NBM7TXRSDR54,17,4,0,pos,0-5,small&dense-small&sparse,39.17-14.36,1,0-5,55.71
A3NBM7TXRSDR54,8,1,1,pos,1-6,large&dense-large&sparse,13.71-7.91,1,1-6,25.816
A3NBM7TXRSDR54,35,4,0,num,7-5-3,0-large&sparse-0,41.48-2.31-8.05,0,6-5-0,53.913
A3NBM7TXRSDR54,3,2,2,pos,7,small&sparse,5.61,1,7,7.648
A3NBM7TXRSDR54,33,2,0,num,5,small&sparse,41.74,1,5,44.111
A3NBM7TXRSDR54,9,2,1,pos,1,small&dense,10.59,1,1,12.466
A3NBM7TXRSDR54,4,3,2,pos,0-2-6,small&dense-small&dense-small&sparse,5.62-5.25-3.53,1,0-2-6,22.305
A3NBM7TXRSDR54,3,-1,2,point number,1,large&dense,7.00,1,1,9.259
A3NBM7TXRSDR54,6,5,1,pos,2,small&dense,6.07,1,2,9.095
A3NBM7TXRSDR54,28,3,1,num,0-2-5,small&dense-small&sparse-small&sparse,6.10-9.72-15.56,1,0-2-5,33.18
A3NBM7TXRSDR54,18,5,2,num,2-7-5,small&dense-small&dense-small&sparse,6.81-1.64-15.31,1,7-2-5,25.818
A3NBM7TXRSDR54,11,4,1,pos,6-1-0,small&dense-small&dense-large&sparse,5.70-2.42-5.03,1,6-1-0,20.709
A3NBM7TXRSDR54,30,5,0,num,4,0,45.88,0,5-0,60
A3NBM7TXRSDR54,19,0,2,num,3,small&dense,10.49,1,3,11.913
A3NBM7TXRSDR54,25,0,1,num,7-5,0-0,52.15-5.09,0,1-0,58.525
A3NBM7TXRSDR54,31,0,0,num,5,large&dense,19.18,0,6-5,60
A3NBM7TXRSDR54,32,1,0,num,7,small&sparse,57.02,1,7,58.572
A3NBM7TXRSDR54,16,3,0,pos,1-0,small&sparse-small&dense,5.72-11.18,1,1-0,18.435
A3NBM7TXRSDR54,2,1,2,pos,6-5-4,small&sparse-small&dense-large&sparse,11.26-5.09-2.67,1,5-4-6,21.886
A3NBM7TXRSDR54,26,1,1,num,4-6,small&dense-large&sparse,11.01-31.21,0,3-4-6,60
A3NBM7TXRSDR54,24,5,1,num,2-6,small&dense-small&sparse,7.43-23.43,1,2-6,33.56
