userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A2I6ZALE49CVSC,0,0,2,pos,3-4,small&dense-small&sparse,4.95-27.92,1,3-4,34.01
A2I6ZALE49CVSC,27,3,1,num,5,small&sparse,6.56,1,5,7.323
A2I6ZALE49CVSC,12,0,0,pos,6,large&dense,5.02,1,6,5.703
A2I6ZALE49CVSC,21,3,2,num,1,small&sparse,7.21,1,1,7.862
A2I6ZALE49CVSC,29,5,1,num,4,small&sparse,3.86,1,4,4.553
A2I6ZALE49CVSC,15,3,0,pos,7,small&sparse,3.66,1,7,4.365
A2I6ZALE49CVSC,60,-1,2,center position,5,small&dense,1.97,1,5,2.616
A2I6ZALE49CVSC,34,4,0,num,5-7-2,large&dense-large&dense-0,6.24-9.82-12.04,0,5-7-6,29.363
A2I6ZALE49CVSC,1,1,2,pos,2,small&sparse,17.86,1,2,18.676
A2I6ZALE49CVSC,20,2,2,num,7-4,large&dense-small&dense,3.21-1.94,1,4-7,5.818
A2I6ZALE49CVSC,7,1,1,pos,7-5-3,small&sparse-small&sparse-large&sparse,3.15-5.05-4.76,1,5-3-7,13.886
A2I6ZALE49CVSC,5,5,2,pos,0-3,large&dense-small&sparse,3.07-2.63,1,0-3,6.311
A2I6ZALE49CVSC,10,4,1,pos,3-7,large&dense-small&dense,8.64-6.69,1,7-3,16.065
A2I6ZALE49CVSC,13,1,0,pos,0-3-5,large&sparse-small&dense-large&dense,2.96-4.78-7.53,1,3-5-0,15.944
A2I6ZALE49CVSC,14,2,0,pos,5-7-1,large&dense-large&dense-0,5.81-10.49-2.85,0,6-5-7,19.832
A2I6ZALE49CVSC,32,-1,2,shape,4,large&dense,5.86,1,4,6.648
A2I6ZALE49CVSC,22,4,2,num,7-0,small&sparse-large&sparse,16.93-4.20,1,0-7,22.205
A2I6ZALE49CVSC,62,-1,2,center position,4,large&dense,4.25,1,4,4.922
A2I6ZALE49CVSC,23,5,2,num,0-6-3,large&dense-large&dense-small&sparse,3.27-2.23-1.78,1,3-6-0,8.072
A2I6ZALE49CVSC,17,5,0,pos,0-5,small&dense-small&sparse,3.84-2.92,1,0-5,7.41
A2I6ZALE49CVSC,8,2,1,pos,1-6,large&dense-large&sparse,2.32-5.08,1,1-6,8.11
A2I6ZALE49CVSC,35,5,0,num,0-3-5,small&sparse-0-large&sparse,5.67-4.60-8.64,0,6-5-0,19.45
A2I6ZALE49CVSC,3,3,2,pos,7,small&sparse,6.09,1,7,6.839
A2I6ZALE49CVSC,33,3,0,num,7,0,15.86,0,5,17.56
A2I6ZALE49CVSC,9,3,1,pos,1,small&dense,2.07,1,1,2.773
A2I6ZALE49CVSC,4,4,2,pos,2-6-0,small&dense-small&sparse-small&dense,3.32-2.81-1.44,1,0-2-6,8.32
A2I6ZALE49CVSC,3,-1,2,point number,1,large&dense,3.59,1,1,4.421
A2I6ZALE49CVSC,6,0,1,pos,2,small&dense,4.64,1,2,5.415
A2I6ZALE49CVSC,28,4,1,num,2-0-5,small&sparse-small&dense-small&sparse,2.75-5.89-8.45,1,0-2-5,17.718
A2I6ZALE49CVSC,18,0,2,num,7-0-5,small&dense-0-small&sparse,5.84-6.56-1.31,0,7-2-5,14.37
A2I6ZALE49CVSC,11,5,1,pos,6-1-0,small&dense-small&dense-large&sparse,4.61-2.13-2.41,1,6-1-0,9.68
A2I6ZALE49CVSC,30,0,0,num,4-5,0-small&dense,5.28-3.82,0,5-0,9.92
A2I6ZALE49CVSC,19,1,2,num,3,small&dense,4.25,1,3,4.859
A2I6ZALE49CVSC,25,1,1,num,0-1,large&sparse-small&sparse,4.31-5.37,1,1-0,10.378
A2I6ZALE49CVSC,31,1,0,num,5-2,large&dense-0,13.56-1.13,0,6-5,15.278
A2I6ZALE49CVSC,31,1,0,num,5-2,large&dense-0,13.56-1.13,0,6-5,15.673
A2I6ZALE49CVSC,32,2,0,num,7,small&sparse,3.41,1,7,4.288
A2I6ZALE49CVSC,16,4,0,pos,0-1,small&dense-small&sparse,2.54-3.91,1,1-0,7.128
A2I6ZALE49CVSC,2,2,2,pos,5-6-4,small&dense-small&sparse-large&sparse,3.76-1.65-1.66,1,5-4-6,7.641
A2I6ZALE49CVSC,26,2,1,num,3-4-6,small&sparse-small&dense-large&sparse,5.43-1.93-4.07,1,3-4-6,13.675
A2I6ZALE49CVSC,24,0,1,num,2-1,small&dense-0,2.53-4.00,0,2-6,7.116
