userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
AWMZ76Q5VBBZH,0,3,2,pos,3-4,small&dense-small&sparse,9.77-8.34,1,3-4,20.772
AWMZ76Q5VBBZH,27,0,1,num,1,0,25.06,0,5,60
AWMZ76Q5VBBZH,12,3,0,pos,6,large&dense,10.27,1,6,11.726
AWMZ76Q5VBBZH,21,0,2,num,7,0,35.58,0,1,60
AWMZ76Q5VBBZH,29,2,1,num,4,small&sparse,6.53,1,4,8.111
AWMZ76Q5VBBZH,15,0,0,pos,1,0,27.54,0,7,60
AWMZ76Q5VBBZH,60,-1,2,center position,5,small&dense,17.05,1,5,19.038
AWMZ76Q5VBBZH,34,1,0,num,5-6-4,large&dense-small&sparse-0,5.43-9.22-23.80,0,5-7-6,60
AWMZ76Q5VBBZH,1,4,2,pos,2,small&sparse,9.49,1,2,11.391
AWMZ76Q5VBBZH,20,5,2,num,7-1,large&dense-0,10.40-10.94,0,4-7,22.984
AWMZ76Q5VBBZH,7,4,1,pos,3-4-0,large&sparse-0-0,7.10-4.54-22.78,0,5-3-7,36.401
AWMZ76Q5VBBZH,5,2,2,pos,0-6,large&dense-0,10.54-2.78,0,0-3,14.786
AWMZ76Q5VBBZH,10,1,1,pos,3-4,large&dense-0,9.54-3.74,0,7-3,14.706
AWMZ76Q5VBBZH,13,4,0,pos,5-0-2,large&dense-large&sparse-0,4.80-4.64-4.47,0,3-5-0,60
AWMZ76Q5VBBZH,14,5,0,pos,5-3-7,large&dense-0-large&dense,5.95-2.22-2.12,0,6-5-7,12.589
AWMZ76Q5VBBZH,32,-1,2,shape,4-3-0,large&dense-0-0,4.84-4.40-2.71,0,4,13.524
AWMZ76Q5VBBZH,22,1,2,num,0-3-6,large&sparse-0-0,11.46-16.52-1.36,0,0-7,60
AWMZ76Q5VBBZH,62,-1,2,center position,4,large&dense,3.03,1,4,4.622
AWMZ76Q5VBBZH,23,2,2,num,6-0-7,large&dense-large&dense-0,4.41-1.61-2.41,0,3-6-0,9.968
AWMZ76Q5VBBZH,17,2,0,pos,0-7,small&dense-0,3.75-13.16,0,0-5,18.411
AWMZ76Q5VBBZH,8,5,1,pos,4-2,0-0,7.54-2.95,0,1-6,11.888
AWMZ76Q5VBBZH,35,2,0,num,6-7-5,small&dense-0-large&sparse,4.72-3.74-1.68,0,6-5-0,11.604
AWMZ76Q5VBBZH,3,0,2,pos,7,small&sparse,13.09,1,7,16.978
AWMZ76Q5VBBZH,33,0,0,num,0,0,19.01,0,5,21.13
AWMZ76Q5VBBZH,9,0,1,pos,1,small&dense,4.83,1,1,6.161
AWMZ76Q5VBBZH,4,1,2,pos,3-0-6,0-small&dense-small&sparse,2.80-1.48-9.30,0,0-2-6,15.037
AWMZ76Q5VBBZH,3,-1,2,point number,1,large&dense,11.67,1,1,12.936
AWMZ76Q5VBBZH,6,3,1,pos,2,small&dense,4.52,1,2,5.993
AWMZ76Q5VBBZH,28,1,1,num,0-6-4,small&dense-0-0,3.60-19.11-2.97,0,0-2-5,27.492
AWMZ76Q5VBBZH,18,3,2,num,5-7-1,small&sparse-small&dense-0,5.54-4.08-3.15,0,7-2-5,14.627
AWMZ76Q5VBBZH,11,2,1,pos,0-6-4,large&sparse-small&dense-0,4.05-7.52-4.24,0,6-1-0,17.249
AWMZ76Q5VBBZH,30,3,0,num,5-0,small&dense-small&dense,5.26-5.30,1,5-0,11.839
AWMZ76Q5VBBZH,19,4,2,num,2,0,18.10,0,3,20.602
AWMZ76Q5VBBZH,25,4,1,num,3-5,0-0,5.43-4.90,0,1-0,11.775
AWMZ76Q5VBBZH,31,4,0,num,5-6,large&dense-large&sparse,9.85-6.15,1,6-5,19.327
AWMZ76Q5VBBZH,32,5,0,num,4,0,16.19,0,7,17.899
AWMZ76Q5VBBZH,16,1,0,pos,0-4,small&dense-0,6.03-10.25,0,1-0,18.197
AWMZ76Q5VBBZH,2,5,2,pos,4-6-3,large&sparse-small&sparse-0,5.32-11.33-3.79,0,5-4-6,60
AWMZ76Q5VBBZH,26,5,1,num,1-4-6,0-small&dense-large&sparse,9.31-1.39-6.78,0,3-4-6,19.352
AWMZ76Q5VBBZH,24,3,1,num,2-6,small&dense-small&sparse,10.12-4.34,1,2-6,15.932
