userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
AUV0RPZ8C7VOG,0,4,2,pos,5月7日,0-0,4.55-6.04,0,3月4日,13.223
AUV0RPZ8C7VOG,27,1,1,num,5,small&sparse,30.15,1,5,37.063
AUV0RPZ8C7VOG,12,4,0,pos,1,0,3.99,0,6,14.749
AUV0RPZ8C7VOG,21,1,2,num,7,0,14.16,0,1,17.342
AUV0RPZ8C7VOG,0,4,2,pos,3月4日,small&dense-small&sparse,11.89-11.86,1,3月4日,27.092
AUV0RPZ8C7VOG,27,1,1,num,1,0,30.23,0,5,60
AUV0RPZ8C7VOG,12,4,0,pos,6,large&dense,8.5,1,6,10.783
AUV0RPZ8C7VOG,21,1,2,num,2,0,9.12,0,1,54.373
AUV0RPZ8C7VOG,29,3,1,num,4,small&sparse,10.63,1,4,13.259
AUV0RPZ8C7VOG,15,1,0,pos,7,small&sparse,18.68,1,7,44.379
AUV0RPZ8C7VOG,60,-1,2,center position,5,small&dense,4.74,1,5,7.184
AUV0RPZ8C7VOG,34,2,0,num,7,large&dense,33.34,0,2005/7/6,36.667
AUV0RPZ8C7VOG,1,5,2,pos,,0,,0,2,60
AUV0RPZ8C7VOG,20,0,2,num,,0,,0,4月7日,60
AUV0RPZ8C7VOG,7,5,1,pos,,0,,0,2005/3/7,60
AUV0RPZ8C7VOG,5,3,2,pos,,0,,0,0-3,60
AUV0RPZ8C7VOG,10,2,1,pos,,0,,0,7月3日,60
AUV0RPZ8C7VOG,13,5,0,pos,,0,,0,3-5-0,60
AUV0RPZ8C7VOG,14,0,0,pos,,0,,0,2006/5/7,60
AUV0RPZ8C7VOG,32,-1,2,shape,,0,,0,4,60
AUV0RPZ8C7VOG,22,2,2,num,,0,,0,0-7,60
AUV0RPZ8C7VOG,62,-1,2,center position,,0,,0,4,60
AUV0RPZ8C7VOG,23,3,2,num,,0,,0,3-6-0,60
AUV0RPZ8C7VOG,17,3,0,pos,0,small&dense,33.44,0,0-5,60
AUV0RPZ8C7VOG,8,0,1,pos,1,large&dense,34.73,0,1月6日,60
AUV0RPZ8C7VOG,35,3,0,num,,0,,0,6-5-0,60
AUV0RPZ8C7VOG,3,1,2,pos,7,small&sparse,8.33,1,7,11.521
AUV0RPZ8C7VOG,33,1,0,num,7,0,10.87,0,5,38.056
AUV0RPZ8C7VOG,9,1,1,pos,1,small&dense,5.31,1,1,9.049
AUV0RPZ8C7VOG,4,2,2,pos,2000/3/6,small&dense-0-small&sparse,5.38-4.03-4.40,0,2000/2/6,16.426
AUV0RPZ8C7VOG,3,-1,2,point number,1,large&dense,21.43,1,1,26.828
AUV0RPZ8C7VOG,6,4,1,pos,2,small&dense,10.9,1,2,13.298
AUV0RPZ8C7VOG,28,2,1,num,2000/2/6,small&dense-small&sparse-0,6.00-26.60-11.72,0,2000/2/5,48.047
AUV0RPZ8C7VOG,18,4,2,num,7月5日,small&dense-small&sparse,5.83-36.73,0,2007/2/5,60
AUV0RPZ8C7VOG,11,3,1,pos,1-0-6,small&dense-large&sparse-small&dense,10.36-5.04-5.59,1,6-1-0,23.66
AUV0RPZ8C7VOG,30,4,0,num,,0,,0,5-0,60
AUV0RPZ8C7VOG,19,5,2,num,3,small&dense,14.87,1,3,18.586
AUV0RPZ8C7VOG,25,5,1,num,0,large&sparse,37.04,0,1-0,60
AUV0RPZ8C7VOG,31,5,0,num,5,large&dense,46.09,0,6月5日,60
AUV0RPZ8C7VOG,32,0,0,num,4,0,5.19,0,7,35.025
AUV0RPZ8C7VOG,16,2,0,pos,1,small&sparse,9.23,0,1-0,11.805
AUV0RPZ8C7VOG,2,0,2,pos,2006/4/5,small&sparse-large&sparse-small&dense,11.73-3.39-3.33,1,2005/4/6,20.722
AUV0RPZ8C7VOG,26,0,1,num,2004/6/1,small&dense-large&sparse-0,5.42-14.71-7.93,0,2003/4/6,31.505
AUV0RPZ8C7VOG,24,4,1,num,2000/4/2,0-0-small&dense,21.43-11.25-2.27,0,2月6日,37.876
