userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A1ETG64Q7Z9MF1,0,5,2,pos,3-4,small&dense-small&sparse,4.56-2.33,1,3-4,16.65
A1ETG64Q7Z9MF1,27,2,1,num,7,0,34.72,0,5,60
A1ETG64Q7Z9MF1,12,5,0,pos,6,large&dense,13.25,1,6,14.879
A1ETG64Q7Z9MF1,21,2,2,num,,0,,0,1,60
A1ETG64Q7Z9MF1,29,4,1,num,4,small&sparse,4.89,1,4,6.294
A1ETG64Q7Z9MF1,15,2,0,pos,7,small&sparse,3.80,1,7,26.212
A1ETG64Q7Z9MF1,60,-1,2,center position,5,small&dense,4.03,1,5,5.827
A1ETG64Q7Z9MF1,34,3,0,num,0,0,26.86,0,5-7-6,28.4
A1ETG64Q7Z9MF1,1,0,2,pos,2,small&sparse,12.19,1,2,13.83
A1ETG64Q7Z9MF1,20,1,2,num,4,small&dense,2.55,0,4-7,8.374
A1ETG64Q7Z9MF1,7,0,1,pos,7-3-5,small&sparse-large&sparse-small&sparse,10.87-7.45-16.92,1,5-3-7,37.72
A1ETG64Q7Z9MF1,5,4,2,pos,0-3,large&dense-small&sparse,3.94-14.81,1,0-3,20.562
A1ETG64Q7Z9MF1,10,3,1,pos,3-7,large&dense-small&dense,6.01-6.18,1,7-3,14.409
A1ETG64Q7Z9MF1,13,0,0,pos,3-0-5,small&dense-large&sparse-large&dense,7.54-4.09-6.56,1,3-5-0,19.681
A1ETG64Q7Z9MF1,14,1,0,pos,7-5-6,large&dense-large&dense-small&sparse,8.41-10.96-12.20,1,6-5-7,33.375
A1ETG64Q7Z9MF1,32,-1,2,shape,4,large&dense,5.72,1,4,25.021
A1ETG64Q7Z9MF1,22,3,2,num,7-4,small&sparse-0,7.05-42.73,0,0-7,52.225
A1ETG64Q7Z9MF1,22,3,2,num,7-4,small&sparse-0,7.05-42.73,0,0-7,52.494
A1ETG64Q7Z9MF1,62,-1,2,center position,4,large&dense,4.10,1,4,5.264
A1ETG64Q7Z9MF1,23,4,2,num,6-0-3,large&dense-large&dense-small&sparse,6.35-8.31-3.81,1,3-6-0,20.322
A1ETG64Q7Z9MF1,17,4,0,pos,0-6,small&dense-0,4.18-19.25,0,0-5,25.115
A1ETG64Q7Z9MF1,8,1,1,pos,1-6,large&dense-large&sparse,9.79-11.09,1,1-6,24.911
A1ETG64Q7Z9MF1,35,4,0,num,,0,,0,6-5-0,60
A1ETG64Q7Z9MF1,3,2,2,pos,7,small&sparse,10.04,1,7,13.321
A1ETG64Q7Z9MF1,33,2,0,num,,0,,0,5,60
A1ETG64Q7Z9MF1,9,2,1,pos,,0,,0,1,60
A1ETG64Q7Z9MF1,4,3,2,pos,,0,,0,0-2-6,60
A1ETG64Q7Z9MF1,3,-1,2,point number,,0,,0,1,60
A1ETG64Q7Z9MF1,6,5,1,pos,,0,,0,2,60
A1ETG64Q7Z9MF1,28,3,1,num,,0,,0,0-2-5,60
A1ETG64Q7Z9MF1,18,5,2,num,,0,,0,7-2-5,60
A1ETG64Q7Z9MF1,11,4,1,pos,,0,,0,6-1-0,60
A1ETG64Q7Z9MF1,30,5,0,num,,0,,0,5-0,60
A1ETG64Q7Z9MF1,19,0,2,num,3,small&dense,15.56,1,3,17.822
A1ETG64Q7Z9MF1,25,0,1,num,,0,,0,1-0,60
A1ETG64Q7Z9MF1,31,0,0,num,5-1,large&dense-0,18.61-13.58,0,6-5,60
A1ETG64Q7Z9MF1,32,1,0,num,,0,,0,7,60
A1ETG64Q7Z9MF1,16,3,0,pos,,0,,0,1-0,60
A1ETG64Q7Z9MF1,2,1,2,pos,6-5-4,small&sparse-small&dense-large&sparse,26.54-5.96-3.81,1,5-4-6,38.429
A1ETG64Q7Z9MF1,26,1,1,num,4-5-6,small&dense-0-large&sparse,34.28-3.25-0.98,0,3-4-6,53.798
A1ETG64Q7Z9MF1,24,5,1,num,2-6,small&dense-small&sparse,28.02-12.93,1,2-6,43.164
