userName,fileId,conditionId,changeMagnitude,userResult,totalTime
A3V2XCDF45VN9X,0,0,2,8,6.196
A3V2XCDF45VN9X,27,3,1,8,22.438
A3V2XCDF45VN9X,12,0,0,8,9.217
A3V2XCDF45VN9X,21,3,2,6,10.446
A3V2XCDF45VN9X,29,5,1,7,3.897
A3V2XCDF45VN9X,15,3,0,7,25.996
A3V2XCDF45VN9X,60,-1,2,6,4.056
A3V2XCDF45VN9X,34,4,0,8,11.538
A3V2XCDF45VN9X,1,1,2,8,5.882
A3V2XCDF45VN9X,20,2,2,6,33.245
A3V2XCDF45VN9X,7,1,1,7,18.485
A3V2XCDF45VN9X,5,5,2,8,4.738
A3V2XCDF45VN9X,10,4,1,8,13.328
A3V2XCDF45VN9X,13,1,0,7,17.344
A3V2XCDF45VN9X,14,2,0,8,28.532
A3V2XCDF45VN9X,32,-1,2,6,3.974
A3V2XCDF45VN9X,22,4,2,8,10.669
A3V2XCDF45VN9X,62,-1,2,6,7.43
A3V2XCDF45VN9X,23,5,2,7,7.51
A3V2XCDF45VN9X,17,5,0,7,27.673
A3V2XCDF45VN9X,8,2,1,8,34.717
A3V2XCDF45VN9X,35,5,0,8,15.629
A3V2XCDF45VN9X,3,3,2,8,11.033
A3V2XCDF45VN9X,33,3,0,8,8.754
A3V2XCDF45VN9X,9,3,1,8,8.186
A3V2XCDF45VN9X,4,4,2,8,3.668
A3V2XCDF45VN9X,3,-1,2,6,13.52
A3V2XCDF45VN9X,6,0,1,8,30.686
A3V2XCDF45VN9X,28,4,1,7,13.477
A3V2XCDF45VN9X,18,0,2,8,11.062
A3V2XCDF45VN9X,11,5,1,7,4.188
A3V2XCDF45VN9X,30,0,0,6,10.691
A3V2XCDF45VN9X,19,1,2,8,5.168
A3V2XCDF45VN9X,25,1,1,7,9.292
A3V2XCDF45VN9X,31,1,0,7,7.608
A3V2XCDF45VN9X,32,2,0,7,17.745
A3V2XCDF45VN9X,16,4,0,8,4.93
A3V2XCDF45VN9X,2,2,2,7,15.558
A3V2XCDF45VN9X,26,2,1,7,10.893
A3V2XCDF45VN9X,24,0,1,8,12.696
