userName,fileId,conditionId,changeMagnitude,userResult,totalTime
A26RO8GGTQAXGG,0,1,2,8,5.828
A26RO8GGTQAXGG,27,4,1,8,9.505
A26RO8GGTQAXGG,12,1,0,8,9.618
A26RO8GGTQAXGG,21,4,2,8,12.464
A26RO8GGTQAXGG,29,0,1,8,15.053
A26RO8GGTQAXGG,15,4,0,9,9.927
A26RO8GGTQAXGG,60,-1,2,6,10.293
A26RO8GGTQAXGG,34,5,0,9,13.17
A26RO8GGTQAXGG,1,2,2,10,17.171
A26RO8GGTQAXGG,20,3,2,8,16.748
A26RO8GGTQAXGG,7,2,1,9,13.143
A26RO8GGTQAXGG,5,0,2,9,16.548
A26RO8GGTQAXGG,10,5,1,9,17.209
A26RO8GGTQAXGG,13,2,0,7,17.937
A26RO8GGTQAXGG,14,3,0,8,19.648
A26RO8GGTQAXGG,32,-1,2,6,20.868
A26RO8GGTQAXGG,22,5,2,8,28.277
A26RO8GGTQAXGG,62,-1,2,6,7.06
A26RO8GGTQAXGG,23,0,2,7,13.276
A26RO8GGTQAXGG,17,0,0,10,23.619
A26RO8GGTQAXGG,8,3,1,9,14.592
A26RO8GGTQAXGG,35,0,0,8,28.346
A26RO8GGTQAXGG,3,4,2,8,19.081
A26RO8GGTQAXGG,33,4,0,9,24.689
A26RO8GGTQAXGG,9,4,1,8,21.558
A26RO8GGTQAXGG,4,5,2,8,10.116
A26RO8GGTQAXGG,3,-1,2,6,23.653
A26RO8GGTQAXGG,6,1,1,8,18.245
A26RO8GGTQAXGG,28,5,1,7,40.115
A26RO8GGTQAXGG,18,1,2,7,18.52
A26RO8GGTQAXGG,11,0,1,8,19.146
A26RO8GGTQAXGG,30,1,0,7,19.132
A26RO8GGTQAXGG,19,2,2,12,24.263
A26RO8GGTQAXGG,25,2,1,9,14.724
A26RO8GGTQAXGG,31,2,0,9,19.548
A26RO8GGTQAXGG,32,3,0,7,12.016
A26RO8GGTQAXGG,16,5,0,8,18.76
A26RO8GGTQAXGG,2,3,2,8,15.803
A26RO8GGTQAXGG,26,3,1,7,20.817
A26RO8GGTQAXGG,24,1,1,8,21.167
