userName,fileId,conditionId,changeMagnitude,userResult,totalTime
A3PYD7EU2WFST6,0,1,2,8,12.026
A3PYD7EU2WFST6,27,4,1,8,16.112
A3PYD7EU2WFST6,12,1,0,7,12.803
A3PYD7EU2WFST6,21,4,2,8,17.229
A3PYD7EU2WFST6,29,0,1,8,23.665
A3PYD7EU2WFST6,15,4,0,9,22.491
A3PYD7EU2WFST6,60,-1,2,6,25.107
A3PYD7EU2WFST6,34,5,0,8,25.432
A3PYD7EU2WFST6,1,2,2,7,13.994
A3PYD7EU2WFST6,20,3,2,6,31.38
A3PYD7EU2WFST6,7,2,1,8,29.532
A3PYD7EU2WFST6,5,0,2,9,40.994
A3PYD7EU2WFST6,10,5,1,8,11.484
A3PYD7EU2WFST6,13,2,0,6,16.368
A3PYD7EU2WFST6,14,3,0,8,21.151
A3PYD7EU2WFST6,32,-1,2,6,9.403
A3PYD7EU2WFST6,22,5,2,7,12.828
A3PYD7EU2WFST6,62,-1,2,6,12.746
A3PYD7EU2WFST6,23,0,2,7,13.469
A3PYD7EU2WFST6,17,0,0,7,21.443
A3PYD7EU2WFST6,8,3,1,8,24.214
A3PYD7EU2WFST6,35,0,0,5,19.343
A3PYD7EU2WFST6,3,4,2,8,14.596
A3PYD7EU2WFST6,33,4,0,8,15.514
A3PYD7EU2WFST6,9,4,1,10,14.137
A3PYD7EU2WFST6,4,5,2,8,13.425
A3PYD7EU2WFST6,3,-1,2,7,12.193
A3PYD7EU2WFST6,6,1,1,8,11.448
A3PYD7EU2WFST6,28,5,1,9,12.809
A3PYD7EU2WFST6,18,1,2,6,17.259
A3PYD7EU2WFST6,11,0,1,7,11.571
A3PYD7EU2WFST6,30,1,0,8,12.186
A3PYD7EU2WFST6,19,2,2,10,9.145
A3PYD7EU2WFST6,25,2,1,7,16.691
A3PYD7EU2WFST6,31,2,0,9,11.675
A3PYD7EU2WFST6,32,3,0,7,11.219
A3PYD7EU2WFST6,16,5,0,8,12.057
A3PYD7EU2WFST6,2,3,2,8,11.164
A3PYD7EU2WFST6,26,3,1,7,11.104
A3PYD7EU2WFST6,24,1,1,8,10.655
