userName,fileId,conditionId,changeMagnitude,userResult,totalTime
A2Z1EKI1WJRPIW,0,2,2,8,36.489
A2Z1EKI1WJRPIW,27,5,1,6,20.641
A2Z1EKI1WJRPIW,12,2,0,7,15.238
A2Z1EKI1WJRPIW,21,5,2,7,21.161
A2Z1EKI1WJRPIW,29,1,1,8,14.417
A2Z1EKI1WJRPIW,15,5,0,8,20.678
A2Z1EKI1WJRPIW,60,-1,2,6,35.754
A2Z1EKI1WJRPIW,34,0,0,7,17.064
A2Z1EKI1WJRPIW,1,3,2,8,9.319
A2Z1EKI1WJRPIW,20,4,2,8,31.662
A2Z1EKI1WJRPIW,7,3,1,7,14.512
A2Z1EKI1WJRPIW,5,1,2,8,24.868
A2Z1EKI1WJRPIW,10,0,1,8,21.636
A2Z1EKI1WJRPIW,13,3,0,7,9.666
A2Z1EKI1WJRPIW,14,4,0,8,59.351
A2Z1EKI1WJRPIW,32,-1,2,5,19.028
A2Z1EKI1WJRPIW,22,0,2,7,16.345
A2Z1EKI1WJRPIW,62,-1,2,5,5.545
A2Z1EKI1WJRPIW,23,1,2,8,10.984
A2Z1EKI1WJRPIW,17,1,0,7,10.308
A2Z1EKI1WJRPIW,8,4,1,8,9.274
A2Z1EKI1WJRPIW,35,1,0,7,12.48
A2Z1EKI1WJRPIW,3,5,2,8,19.374
A2Z1EKI1WJRPIW,33,5,0,6,8.143
A2Z1EKI1WJRPIW,9,5,1,8,16.695
A2Z1EKI1WJRPIW,4,0,2,7,7.485
A2Z1EKI1WJRPIW,3,-1,2,6,8.61
A2Z1EKI1WJRPIW,6,2,1,8,17.33
A2Z1EKI1WJRPIW,28,0,1,7,28.422
A2Z1EKI1WJRPIW,18,2,2,6,10.617
A2Z1EKI1WJRPIW,11,1,1,8,14.391
A2Z1EKI1WJRPIW,30,2,0,6,17.056
A2Z1EKI1WJRPIW,19,3,2,8,12.061
A2Z1EKI1WJRPIW,25,3,1,7,7.82
A2Z1EKI1WJRPIW,31,3,0,6,18.331
A2Z1EKI1WJRPIW,32,4,0,8,20.78
A2Z1EKI1WJRPIW,16,0,0,8,8.892
A2Z1EKI1WJRPIW,2,4,2,8,18.759
A2Z1EKI1WJRPIW,26,4,1,8,26.738
A2Z1EKI1WJRPIW,24,2,1,8,13.379
