userName,fileId,conditionId,changeMagnitude,userResult,totalTime
ATITVDQ6OAT92,0,3,2,8,9.65
ATITVDQ6OAT92,27,0,1,7,11.32
ATITVDQ6OAT92,12,3,0,7,16.115
ATITVDQ6OAT92,21,0,2,7,18.456
ATITVDQ6OAT92,29,2,1,7,8.822
ATITVDQ6OAT92,15,0,0,6,39.787
ATITVDQ6OAT92,60,-1,2,6,10.176
ATITVDQ6OAT92,34,1,0,8,13.656
ATITVDQ6OAT92,1,4,2,6,15.969
ATITVDQ6OAT92,20,5,2,8,8.945
ATITVDQ6OAT92,7,4,1,7,11.063
ATITVDQ6OAT92,5,2,2,5,9.26
ATITVDQ6OAT92,10,1,1,6,8.742
ATITVDQ6OAT92,13,4,0,6,12.019
ATITVDQ6OAT92,14,5,0,8,22.395
ATITVDQ6OAT92,32,-1,2,6,11.135
ATITVDQ6OAT92,22,1,2,7,10.054
ATITVDQ6OAT92,62,-1,2,6,17.675
ATITVDQ6OAT92,23,2,2,6,7.109
ATITVDQ6OAT92,17,2,0,6,9.667
ATITVDQ6OAT92,8,5,1,7,9.018
ATITVDQ6OAT92,35,2,0,6,7.902
ATITVDQ6OAT92,3,0,2,6,13.581
ATITVDQ6OAT92,33,0,0,7,9.374
ATITVDQ6OAT92,9,0,1,8,15.202
ATITVDQ6OAT92,4,1,2,6,7.667
ATITVDQ6OAT92,3,-1,2,6,13.884
ATITVDQ6OAT92,6,3,1,8,6.568
ATITVDQ6OAT92,28,1,1,7,9.338
ATITVDQ6OAT92,18,3,2,8,12.73
ATITVDQ6OAT92,11,2,1,7,15.87
ATITVDQ6OAT92,30,3,0,6,5.675
ATITVDQ6OAT92,19,4,2,7,7.534
ATITVDQ6OAT92,25,4,1,7,12.025
ATITVDQ6OAT92,31,4,0,6,7.452
ATITVDQ6OAT92,32,5,0,8,17.271
ATITVDQ6OAT92,16,1,0,7,6.537
ATITVDQ6OAT92,2,5,2,10,10.599
ATITVDQ6OAT92,26,5,1,8,6.749
ATITVDQ6OAT92,24,3,1,8,7.773
