userName,fileId,conditionId,changeMagnitude,userResult,totalTime
A2LGHM6LX5NK5M,0,4,2,8,20.894
A2LGHM6LX5NK5M,27,1,1,7,22.714
A2LGHM6LX5NK5M,12,4,0,7,18.931
A2LGHM6LX5NK5M,21,1,2,7,28.989
A2LGHM6LX5NK5M,29,3,1,8,14.413
A2LGHM6LX5NK5M,15,1,0,8,19.299
A2LGHM6LX5NK5M,60,-1,2,5,19.956
A2LGHM6LX5NK5M,34,2,0,7,15.632
A2LGHM6LX5NK5M,1,5,2,8,11.457
A2LGHM6LX5NK5M,20,0,2,6,18.424
A2LGHM6LX5NK5M,7,5,1,7,25.32
A2LGHM6LX5NK5M,5,3,2,8,31.781
A2LGHM6LX5NK5M,10,2,1,7,26.705
A2LGHM6LX5NK5M,13,5,0,7,23.574
A2LGHM6LX5NK5M,14,0,0,8,21.079
A2LGHM6LX5NK5M,32,-1,2,8,3.956
A2LGHM6LX5NK5M,22,2,2,8,27.125
A2LGHM6LX5NK5M,62,-1,2,5,9.989
A2LGHM6LX5NK5M,23,3,2,8,19.382
A2LGHM6LX5NK5M,17,3,0,7,33.57
A2LGHM6LX5NK5M,8,0,1,6,33.635
A2LGHM6LX5NK5M,35,3,0,8,14.082
A2LGHM6LX5NK5M,3,1,2,8,10.376
A2LGHM6LX5NK5M,33,1,0,7,22.223
A2LGHM6LX5NK5M,9,1,1,8,12.473
A2LGHM6LX5NK5M,4,2,2,7,12.281
A2LGHM6LX5NK5M,3,-1,2,6,11.201
A2LGHM6LX5NK5M,6,4,1,8,11.293
A2LGHM6LX5NK5M,28,2,1,6,13.741
A2LGHM6LX5NK5M,18,4,2,8,10.914
A2LGHM6LX5NK5M,11,3,1,7,13.069
A2LGHM6LX5NK5M,30,4,0,7,15.523
A2LGHM6LX5NK5M,19,5,2,8,8.91
A2LGHM6LX5NK5M,25,5,1,7,25.649
A2LGHM6LX5NK5M,31,5,0,8,16.235
A2LGHM6LX5NK5M,32,0,0,7,11.285
A2LGHM6LX5NK5M,16,2,0,8,11.14
A2LGHM6LX5NK5M,2,0,2,7,12.08
A2LGHM6LX5NK5M,26,0,1,6,16.618
A2LGHM6LX5NK5M,24,4,1,8,8.76
