userName,fileId,conditionId,changeMagnitude,userResult,totalTime
A3AUW27JCGTN1M,0,4,2,8,11.772
A3AUW27JCGTN1M,27,1,1,7,39.194
A3AUW27JCGTN1M,12,4,0,8,9.183
A3AUW27JCGTN1M,21,1,2,8,23.227
A3AUW27JCGTN1M,29,3,1,8,13.913
A3AUW27JCGTN1M,15,1,0,8,24.825
A3AUW27JCGTN1M,60,-1,2,6,9.265
A3AUW27JCGTN1M,34,2,0,7,14.35
A3AUW27JCGTN1M,1,5,2,8,29.957
A3AUW27JCGTN1M,20,0,2,7,33.913
A3AUW27JCGTN1M,7,5,1,8,15.218
A3AUW27JCGTN1M,5,3,2,8,31.601
A3AUW27JCGTN1M,10,2,1,5,17.261
A3AUW27JCGTN1M,13,5,0,8,38.33
A3AUW27JCGTN1M,14,0,0,8,33.421
A3AUW27JCGTN1M,32,-1,2,6,17.669
A3AUW27JCGTN1M,22,2,2,8,55.442
A3AUW27JCGTN1M,62,-1,2,6,9.449
A3AUW27JCGTN1M,23,3,2,8,18.992
A3AUW27JCGTN1M,17,3,0,7,46.565
A3AUW27JCGTN1M,8,0,1,7,19.455
A3AUW27JCGTN1M,35,3,0,7,17.416
A3AUW27JCGTN1M,3,1,2,8,22.59
A3AUW27JCGTN1M,33,1,0,7,39.662
A3AUW27JCGTN1M,9,1,1,8,16.09
A3AUW27JCGTN1M,4,2,2,8,14.426
A3AUW27JCGTN1M,3,-1,2,6,12.514
A3AUW27JCGTN1M,6,4,1,8,6.601
A3AUW27JCGTN1M,28,2,1,7,24.703
A3AUW27JCGTN1M,18,4,2,8,12.533
A3AUW27JCGTN1M,11,3,1,8,19.269
A3AUW27JCGTN1M,30,4,0,8,26.374
A3AUW27JCGTN1M,19,5,2,8,8.455
A3AUW27JCGTN1M,25,5,1,8,23.039
A3AUW27JCGTN1M,31,5,0,8,25.32
A3AUW27JCGTN1M,32,0,0,8,32.485
A3AUW27JCGTN1M,16,2,0,9,34.416
A3AUW27JCGTN1M,2,0,2,8,36.517
A3AUW27JCGTN1M,26,0,1,9,40.075
A3AUW27JCGTN1M,24,4,1,8,8.035
