userName,fileId,conditionId,changeMagnitude,userResult,totalTime
A8Q3CXMIF3HJ9,0,4,2,8,9.886
A8Q3CXMIF3HJ9,27,1,1,6,13.066
A8Q3CXMIF3HJ9,12,4,0,8,28.13
A8Q3CXMIF3HJ9,21,1,2,8,23.531
A8Q3CXMIF3HJ9,29,3,1,8,13.548
A8Q3CXMIF3HJ9,15,1,0,7,30.712
A8Q3CXMIF3HJ9,60,-1,2,6,12.652
A8Q3CXMIF3HJ9,34,2,0,7,22.889
A8Q3CXMIF3HJ9,1,5,2,8,11.512
A8Q3CXMIF3HJ9,20,0,2,7,8.361
A8Q3CXMIF3HJ9,7,5,1,7,14.805
A8Q3CXMIF3HJ9,5,3,2,8,14.768
A8Q3CXMIF3HJ9,10,2,1,7,16.717
A8Q3CXMIF3HJ9,13,5,0,7,13.922
A8Q3CXMIF3HJ9,14,0,0,8,25.47
A8Q3CXMIF3HJ9,32,-1,2,5,10.855
A8Q3CXMIF3HJ9,22,2,2,7,27.888
A8Q3CXMIF3HJ9,62,-1,2,6,10.167
A8Q3CXMIF3HJ9,23,3,2,8,7.478
A8Q3CXMIF3HJ9,17,3,0,8,28.884
A8Q3CXMIF3HJ9,8,0,1,8,30.5
A8Q3CXMIF3HJ9,35,3,0,8,16
A8Q3CXMIF3HJ9,3,1,2,7,13.707
A8Q3CXMIF3HJ9,33,1,0,6,32.851
A8Q3CXMIF3HJ9,9,1,1,8,13.76
A8Q3CXMIF3HJ9,4,2,2,8,9.894
A8Q3CXMIF3HJ9,3,-1,2,6,15.964
A8Q3CXMIF3HJ9,6,4,1,8,8.796
A8Q3CXMIF3HJ9,28,2,1,6,16.7
A8Q3CXMIF3HJ9,18,4,2,8,10.843
A8Q3CXMIF3HJ9,11,3,1,8,8.589
A8Q3CXMIF3HJ9,30,4,0,8,12.858
A8Q3CXMIF3HJ9,19,5,2,8,7.561
A8Q3CXMIF3HJ9,25,5,1,8,9.833
A8Q3CXMIF3HJ9,31,5,0,8,10.373
A8Q3CXMIF3HJ9,32,0,0,8,18.7
A8Q3CXMIF3HJ9,16,2,0,8,10.466
A8Q3CXMIF3HJ9,2,0,2,7,37.717
A8Q3CXMIF3HJ9,26,0,1,8,20.397
A8Q3CXMIF3HJ9,24,4,1,8,6.563
