userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A2HB9QS3YC3XY,0,5,2,pos,8,10.383
A2HB9QS3YC3XY,27,2,1,num,6,21.44
A2HB9QS3YC3XY,12,5,0,pos,7,32.16
A2HB9QS3YC3XY,21,2,2,num,8,24.189
A2HB9QS3YC3XY,29,4,1,num,8,20.944
A2HB9QS3YC3XY,15,2,0,pos,7,28.087
A2HB9QS3YC3XY,60,-1,2,center position,6,13.103
A2HB9QS3YC3XY,34,3,0,num,8,6.277
A2HB9QS3YC3XY,1,0,2,pos,7,14.245
A2HB9QS3YC3XY,20,1,2,num,7,17.992
A2HB9QS3YC3XY,7,0,1,pos,7,7.86
A2HB9QS3YC3XY,5,4,2,pos,7,20.257
A2HB9QS3YC3XY,10,3,1,pos,8,20.05
A2HB9QS3YC3XY,13,0,0,pos,7,39.372
A2HB9QS3YC3XY,14,1,0,pos,8,14.873
A2HB9QS3YC3XY,32,-1,2,shape,6,19.512
A2HB9QS3YC3XY,22,3,2,num,7,40.942
A2HB9QS3YC3XY,62,-1,2,center position,6,7.585
A2HB9QS3YC3XY,23,4,2,num,7,17.578
A2HB9QS3YC3XY,17,4,0,pos,6,15.531
A2HB9QS3YC3XY,8,1,1,pos,7,19.02
A2HB9QS3YC3XY,35,4,0,num,7,21.455
A2HB9QS3YC3XY,3,2,2,pos,6,11.488
A2HB9QS3YC3XY,33,2,0,num,6,10.631
A2HB9QS3YC3XY,9,2,1,pos,5,8.969
A2HB9QS3YC3XY,4,3,2,pos,8,10.471
A2HB9QS3YC3XY,3,-1,2,point number,6,13.008
A2HB9QS3YC3XY,6,5,1,pos,8,7.144
A2HB9QS3YC3XY,28,3,1,num,7,28.944
A2HB9QS3YC3XY,18,5,2,num,7,9.933
A2HB9QS3YC3XY,11,4,1,pos,8,7.546
A2HB9QS3YC3XY,30,5,0,num,7,14.056
A2HB9QS3YC3XY,19,0,2,num,8,17.179
A2HB9QS3YC3XY,25,0,1,num,8,9.3
A2HB9QS3YC3XY,31,0,0,num,7,11.384
A2HB9QS3YC3XY,32,1,0,num,7,32.448
A2HB9QS3YC3XY,16,3,0,pos,8,12.813
A2HB9QS3YC3XY,2,1,2,pos,8,14.936
A2HB9QS3YC3XY,26,1,1,num,7,25.346
A2HB9QS3YC3XY,24,5,1,num,8,12.461
