workerId,age,gender,degree,screenSize,familiar,comment,code,endTime
test-counting,25-39,Male,PhD,23 or larger,7,"",zMW087X4,2021-08-11 10:58:23
test-cosaliency,25-39,Male,PhD,23 or larger,7,"",zMW087X4,2021-08-11 11:14:52
A1KN9HX927E12X,25-39,Male,Bachelors,13,6,"very well",zMW087X4,2021-08-11 15:18:10
ANBQ5S0ZDCC19,40-49,Male,Bachelors,17,7,"This task was interesting.",zMW087X4,2021-08-11 15:21:37
A2LIL8K5EFXDGU,25-39,Male,Bachelors,11,3,"nice",4Oc36189,2021-08-11 15:22:18
A1FYFBIFYWTMJS,25-39,Male,Masters,23 or larger,6,"",zMW087X4,2021-08-11 15:25:54
AG4LL3LCM9Z8L,25-39,Female,Bachelors,21,6,"VERY INTERESTING",zMW087X4,2021-08-11 15:27:22
A37MPP4LBQSTQF,40-49,Female,Bachelors,15,7,"interesting task.",4Oc36189,2021-08-11 15:34:32
A2F2A86R0IZ685,40-49,Female,Bachelors,21,6,"very easy to understand",zMW087X4,2021-08-11 15:42:11
A1ETG64Q7Z9MF1,25-39,Male,Bachelors,unsure,7,"",4Oc36189,2021-08-11 15:44:43
AXRDY6D16PVVH,40-49,Male,Masters,15,7,"It was nice",5S93648j,2021-08-11 15:47:24
A3NBM7TXRSDR54,25-39,Male,Bachelors,13,4,".",5S93648j,2021-08-11 15:50:20
A2BB01M8NATK5V,25-39,Female,Bachelors,unsure,6,"this games is very very super, and i love this game",4Oc36189,2021-08-11 15:59:20
A37EV8RZ82WT8E,25-39,Male,High School,23 or larger,5,"I had no issues completing the hit.",5S93648j,2021-08-11 16:03:18
A3J55BJGV95JKH,40-49,Female,Bachelors,23 or larger,5,"",5S93648j,2021-08-11 16:13:33
A2UC3CDVQNVPQ8,50-59,Female,Masters,15,7,"It was good",0VT3pci2,2021-08-11 16:15:07
A1WN225VOU6316,25-39,Male,Bachelors,unsure,7,"It was very interesting to do",0VT3pci2,2021-08-11 16:16:35
A373BJ7K3G0DSJ,25-39,Female,Bachelors,unsure,6,"i like this game very intersting",4Oc36189,2021-08-11 16:21:42
A1I0DV4B4MFQCL,25-39,Male,Bachelors,13,4,"",4S38975i,2021-08-11 16:36:13
A3NXT3OVGL7QNR,25-39,Male,High School,17,3,"Thank you. ",zMW087X4,2021-08-11 16:37:13
A2949EJ4EVG6LM,50-59,Male,Bachelors,15,1,"it was interesting and colorful",4Oc36189,2021-08-11 18:17:38
A361KK8PC1KZLQ,25-39,Male,Masters,23 or larger,7,"nice",5S93648j,2021-08-11 18:29:10
A17Q4QN6UE0EZC,25-39,Male,Bachelors,23 or larger,5,"",4S38975i,2021-08-11 19:13:51
A1V5LTD5J87JGC,40-49,Male,Bachelors,21,6,"good survey..thank you.",0VT3pci2,2021-08-11 20:37:42
A13WTEQ06V3B6D,25-39,Male,Masters,15,5,"",4S38975i,2021-08-11 20:48:03
A2I6ZALE49CVSC,25-39,Male,High School,23 or larger,5,"",5S93648j,2021-08-11 21:10:10
A23KAJRDVCVGOE,40-49,Male,High School,17,3,"",0VT3pci2,2021-08-11 21:19:33
A38Z2PI7OWN4KY,25-39,Male,Masters,11,7,"VERY NICE",4S38975i,2021-08-11 21:23:07
A376RFEFI88BBA,40-49,Female,Bachelors,unsure,7,"it was very interesting survey",0VT3pci2,2021-08-11 23:42:24
AUV0RPZ8C7VOG,25-39,Male,Bachelors,11,7,"very well",0VT3pci2,2021-08-11 23:51:04
A1Y8BGDLPNYP0K,25-39,Female,Masters,13,7,"nothing",4S38975i,2021-08-12 03:41:15
A348NEQKS6VNIB,50-59,Female,Bachelors,23 or larger,2,"This was an enjoyable study and I appreciate the opportunity to participate in your research.",4S38975i,2021-08-12 16:04:35
