Transaction ID,Date Initiated,Date Posted,Transaction Type,Payment Method,Recipient ID,Amount,HIT ID,Assignment ID
3BHUC2QBHWM63WKVW8XZOJJ66NFI7P,2021-08-11 01:42:46 -0700,2021-08-11 01:42:46 -0700,Prepayment,AmericanExpress (last 4 digits: 1001),ATEPFMI3X7UCH,200.000,,
3UNODTIHL9FMEA4AB0Z9W05BT4YTO2,2021-08-12 07:36:38 -0700,2021-08-12 14:09:48 -0700,AssignmentPayment,,A1FYFBIFYWTMJS,-2.000,3U74KRR67NM8TYW4GF1M12I6U58TNN,30X31N5D64R2HZNU8EWTUBY7EX9ASB
38OPVM8H9XLKTFRQYEE1T4CB50DP9N,2021-08-12 07:36:38 -0700,2021-08-12 12:36:57 -0700,FeePayment,,Mechanical Turk,-0.400,3U74KRR67NM8TYW4GF1M12I6U58TNN,30X31N5D64R2HZNU8EWTUBY7EX9ASB
3W86AGBF67GH340KYXLODFHF8L0WR4,2021-08-12 07:36:38 -0700,2021-08-12 11:39:50 -0700,AssignmentPayment,,A2UC3CDVQNVPQ8,-2.000,3U74KRR67NM8TYW4GF1M12I6U58TNN,3RWE2M8QWIB909X78GIE6BCOICP0NY
36UXPB68207J45EL2FSMQZIUY5NSCN,2021-08-12 07:36:38 -0700,2021-08-12 12:36:57 -0700,FeePayment,,Mechanical Turk,-0.400,3U74KRR67NM8TYW4GF1M12I6U58TNN,3RWE2M8QWIB909X78GIE6BCOICP0NY
3UEOIKJJ4EFL5QS19HFZQUMG1L81O2,2021-08-12 07:36:38 -0700,2021-08-12 11:11:35 -0700,AssignmentPayment,,A1I0DV4B4MFQCL,-2.000,3U74KRR67NM8TYW4GF1M12I6U58TNN,3PB5A5BD0W7H8SG56BQSV6DEPE9G76
3KCH8365SATP2OTHK5OINHYE7ZMX9J,2021-08-12 07:36:38 -0700,2021-08-12 12:36:57 -0700,FeePayment,,Mechanical Turk,-0.400,3U74KRR67NM8TYW4GF1M12I6U58TNN,3PB5A5BD0W7H8SG56BQSV6DEPE9G76
34LQ58QJN1SU42NGA8VHCKD6S1J650,2021-08-12 07:36:38 -0700,2021-08-12 13:49:09 -0700,AssignmentPayment,,A3NBM7TXRSDR54,-2.000,3U74KRR67NM8TYW4GF1M12I6U58TNN,3GNA64GUZF5TYDW0LEG7R03K4VN5QB
3SV2MFO7RULN4MPAUEEXE3K2CKC1QI,2021-08-12 07:36:38 -0700,2021-08-12 12:36:57 -0700,FeePayment,,Mechanical Turk,-0.400,3U74KRR67NM8TYW4GF1M12I6U58TNN,3GNA64GUZF5TYDW0LEG7R03K4VN5QB
363TFFE0B001C2W3IHGIG5FCQT1TSZ,2021-08-12 07:38:13 -0700,2021-08-12 12:35:54 -0700,AssignmentPayment,,A3J55BJGV95JKH,-2.000,3J06WJ78HOL0EV92N1NSC104DTQVVM,3VW04L3ZLU7M9THMDYUUDRQXUXJXX9
3B5OJ490AKNWW547AUJ3F0V1WLSPD4,2021-08-12 07:38:13 -0700,2021-08-12 12:36:57 -0700,FeePayment,,Mechanical Turk,-0.400,3J06WJ78HOL0EV92N1NSC104DTQVVM,3VW04L3ZLU7M9THMDYUUDRQXUXJXX9
33XOHCYG7R6KPCAGNT28HP9P7FJ0C1,2021-08-12 07:38:13 -0700,2021-08-12 13:36:48 -0700,AssignmentPayment,,A1Y8BGDLPNYP0K,-2.000,3J06WJ78HOL0EV92N1NSC104DTQVVM,3VNXK88KKDJ448UTA3NY937U7KHV9K
3J3RQF3OXB1K5SFDWRNY36HXUF6FDS,2021-08-12 07:38:13 -0700,2021-08-12 12:36:57 -0700,FeePayment,,Mechanical Turk,-0.400,3J06WJ78HOL0EV92N1NSC104DTQVVM,3VNXK88KKDJ448UTA3NY937U7KHV9K
3AGS95KIQUOCV8JYZ3BIQG9YG6LRRW,2021-08-12 07:38:14 -0700,2021-08-12 13:03:42 -0700,AssignmentPayment,,ANBQ5S0ZDCC19,-2.000,3J06WJ78HOL0EV92N1NSC104DTQVVM,30BUDKLTXEW41A6VCNL7XJE6LSZ5EZ
3PMM9PEU1PGMOSMGUJB0R58OB6FNC6,2021-08-12 07:38:14 -0700,2021-08-12 12:36:57 -0700,FeePayment,,Mechanical Turk,-0.400,3J06WJ78HOL0EV92N1NSC104DTQVVM,30BUDKLTXEW41A6VCNL7XJE6LSZ5EZ
